gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
male,0,yes,no,28,yes,no,fiber_optic,no,no,no,yes,no,no,month-to-month,no,bank_transfer_(automatic),76.55,2065.4
male,0,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.2,20.2
female,0,no,no,6,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,no,electronic_check,89.3,577.6
female,1,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.15,70.15
male,0,no,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,mailed_check,19.45,69.25
male,0,yes,yes,5,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.45,86.05
male,0,yes,no,38,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),20.4,743.5
female,1,no,no,1,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,yes,mailed_check,25.7,25.7
female,0,yes,yes,44,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,bank_transfer_(automatic),56.25,2419.55
female,1,no,no,45,yes,no,fiber_optic,yes,yes,no,yes,no,no,month-to-month,yes,bank_transfer_(automatic),85.7,3778.1
male,0,yes,yes,71,yes,no,dsl,yes,no,yes,yes,no,yes,two_year,yes,credit_card_(automatic),70.85,4973.4
female,0,no,yes,22,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,20.55,469.85
male,0,no,no,4,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.2,237.95
male,0,no,no,4,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,85.65,338.9
male,0,no,no,31,yes,no,dsl,yes,yes,yes,yes,yes,no,month-to-month,yes,bank_transfer_(automatic),72.45,2156.25
male,0,yes,no,54,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,month-to-month,no,electronic_check,109.55,6118.95
male,0,yes,no,70,yes,yes,fiber_optic,yes,yes,no,yes,no,no,two_year,yes,credit_card_(automatic),88.0,5986.45
female,0,no,no,61,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),19.45,1336.35
female,0,no,no,8,yes,yes,fiber_optic,yes,no,no,yes,yes,yes,month-to-month,yes,bank_transfer_(automatic),103.35,847.3
female,0,no,no,71,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,electronic_check,24.55,1719.15
female,0,no,yes,4,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,25.45,84.2
female,1,yes,no,38,yes,no,fiber_optic,yes,no,no,no,no,yes,month-to-month,yes,electronic_check,83.45,3147.15
female,0,yes,no,27,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,no,credit_card_(automatic),95.0,2462.55
female,0,yes,yes,65,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),25.3,1748.55
female,0,no,no,3,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,electronic_check,19.75,58.85
female,0,no,no,39,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.15,826.0
female,0,yes,yes,72,yes,yes,dsl,yes,yes,no,yes,no,no,two_year,no,credit_card_(automatic),66.75,4760.3
female,0,no,no,47,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,106.35,4849.1
female,0,no,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed_check,45.95,45.95
female,0,yes,no,72,yes,yes,fiber_optic,yes,no,yes,no,yes,yes,two_year,yes,credit_card_(automatic),105.0,7589.8
male,0,yes,yes,10,yes,no,dsl,no,no,yes,no,yes,no,month-to-month,no,mailed_check,60.2,563.5
female,0,no,no,16,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,yes,mailed_check,53.9,834.15
male,0,no,no,18,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,23.75,424.5
female,0,no,no,34,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.35,673.2
male,0,yes,no,25,no,no_phone_service,dsl,no,no,yes,no,yes,no,one_year,yes,credit_card_(automatic),38.1,970.4
male,0,yes,yes,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,68.5,68.5
female,0,no,no,62,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,credit_card_(automatic),25.8,1563.95
female,0,yes,no,50,yes,yes,fiber_optic,yes,yes,no,yes,yes,yes,one_year,no,electronic_check,108.55,5610.7
male,0,no,no,12,yes,no,dsl,no,no,no,yes,yes,no,one_year,yes,electronic_check,59.8,727.8
female,0,yes,no,64,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.45,1225.65
male,0,yes,yes,68,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),114.7,7849.85
male,0,no,yes,55,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),19.1,1001.5
male,0,no,no,15,yes,yes,fiber_optic,yes,no,no,no,yes,no,month-to-month,yes,bank_transfer_(automatic),87.75,1242.2
female,0,yes,yes,42,yes,no,fiber_optic,no,no,yes,yes,yes,yes,two_year,yes,electronic_check,100.4,4303.65
female,1,no,no,11,yes,no,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,95.0,1120.3
female,0,no,yes,49,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,credit_card_(automatic),19.45,921.3
male,0,no,no,31,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,101.4,3143.65
male,0,yes,yes,59,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.3,1192.7
male,0,no,yes,56,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,24.8,1424.2
male,0,no,no,19,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,yes,credit_card_(automatic),55.0,1046.5
female,0,yes,no,56,yes,yes,fiber_optic,yes,no,no,no,yes,yes,one_year,yes,electronic_check,98.0,5270.6
male,0,yes,yes,12,yes,no,dsl,no,no,no,no,no,yes,one_year,no,credit_card_(automatic),53.65,696.35
male,1,no,no,3,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,105.0,294.45
male,0,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,19.0,78.9
female,0,yes,no,71,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,bank_transfer_(automatic),25.0,1753.0
male,0,no,no,5,yes,yes,fiber_optic,no,yes,yes,no,no,no,month-to-month,yes,electronic_check,85.3,424.15
male,0,no,yes,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic_check,44.4,44.4
female,0,no,no,3,yes,no,fiber_optic,yes,no,yes,no,yes,yes,month-to-month,yes,credit_card_(automatic),99.0,287.4
female,0,yes,yes,65,yes,no,dsl,yes,yes,yes,no,no,no,one_year,no,bank_transfer_(automatic),61.35,3874.1
male,0,yes,no,1,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,50.35,50.35
female,0,yes,yes,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,electronic_check,19.25,19.25
male,0,no,no,19,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,bank_transfer_(automatic),86.0,1532.45
female,1,yes,no,51,yes,yes,fiber_optic,yes,no,no,no,no,no,month-to-month,yes,electronic_check,77.5,3807.35
female,0,yes,yes,52,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.85,1070.5
male,0,yes,no,57,yes,yes,fiber_optic,yes,yes,yes,yes,yes,no,month-to-month,yes,electronic_check,103.05,5925.75
female,1,yes,no,60,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),116.05,6925.9
male,0,yes,yes,24,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),24.1,587.4
female,0,yes,yes,41,yes,no,dsl,no,yes,no,yes,no,yes,one_year,yes,bank_transfer_(automatic),66.5,2728.6
female,1,no,no,63,yes,yes,fiber_optic,no,no,yes,no,no,yes,month-to-month,yes,bank_transfer_(automatic),89.6,5538.8
male,0,no,yes,33,yes,yes,fiber_optic,yes,no,yes,no,no,yes,month-to-month,yes,bank_transfer_(automatic),95.3,3275.15
male,0,yes,no,48,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),111.45,5315.1
male,0,yes,yes,64,yes,yes,fiber_optic,no,no,yes,no,no,yes,one_year,no,credit_card_(automatic),90.25,5629.15
female,0,no,yes,67,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,two_year,yes,electronic_check,104.0,7039.05
female,0,no,no,11,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,76.5,837.95
male,0,no,no,44,yes,no,fiber_optic,no,yes,no,yes,yes,yes,month-to-month,no,electronic_check,100.55,4398.15
male,0,yes,no,71,yes,yes,dsl,yes,yes,yes,yes,no,yes,two_year,yes,mailed_check,80.1,5585.4
female,0,yes,yes,65,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),110.8,7245.9
male,0,yes,no,71,yes,no,dsl,no,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),79.1,5564.85
male,0,yes,yes,61,yes,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,yes,electronic_check,99.9,6241.35
female,1,no,no,35,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,70.55,2419.0
male,0,no,no,2,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,no,bank_transfer_(automatic),62.05,118.3
female,0,no,no,2,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,bank_transfer_(automatic),18.75,53.15
male,0,no,yes,1,yes,no,dsl,no,no,yes,no,no,no,month-to-month,no,electronic_check,48.95,48.95
female,1,no,no,3,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic_check,45.0,127.1
male,0,no,no,68,yes,no,fiber_optic,no,yes,yes,no,no,no,one_year,no,credit_card_(automatic),79.6,5461.45
female,0,yes,no,2,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.35,120.25
female,0,no,no,6,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.7,112.75
male,0,no,no,64,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.55,1240.15
female,0,yes,yes,72,yes,no,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),108.3,7679.65
male,1,yes,no,34,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,credit_card_(automatic),71.55,2427.35
female,0,no,no,52,no,no_phone_service,dsl,yes,yes,no,yes,no,no,two_year,no,mailed_check,39.1,1982.1
female,0,yes,yes,55,yes,yes,fiber_optic,yes,yes,no,no,no,no,month-to-month,yes,electronic_check,85.1,4600.95
female,0,no,no,13,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,mailed_check,75.0,999.45
female,0,yes,yes,8,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,credit_card_(automatic),21.05,139.75
male,0,yes,yes,7,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,bank_transfer_(automatic),20.25,174.7
female,1,yes,yes,66,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,electronic_check,104.9,6891.45
female,0,no,no,3,yes,no,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,89.45,240.45
male,0,yes,yes,65,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.9,1292.6
female,0,yes,yes,58,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,two_year,no,mailed_check,59.75,3624.35
female,0,yes,no,68,yes,yes,fiber_optic,no,yes,yes,yes,no,no,two_year,no,credit_card_(automatic),90.2,6297.65
female,0,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,70.6,70.6
male,0,no,no,1,yes,no,fiber_optic,no,no,no,yes,no,no,month-to-month,no,electronic_check,74.0,74.0
female,1,no,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,69.95,69.95
female,1,no,no,71,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,credit_card_(automatic),99.65,6951.15
female,1,yes,no,15,yes,no,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,94.65,1285.05
male,0,no,no,57,no,no_phone_service,dsl,no,no,yes,yes,yes,yes,two_year,no,credit_card_(automatic),53.35,3090.05
female,0,yes,yes,71,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,no,credit_card_(automatic),87.25,6328.7
